,n_u,n_f,mse_loss
0,20,2000,2.2031599655747414e-05
1,20,4000,7.975879270816222e-05
2,20,6000,9.777505511010531e-06
3,20,7000,0.00012405554298311472
4,20,8000,0.00010605974966892973
5,20,10000,
6,40,2000,5.082206189399585e-05
7,40,4000,0.0001377749431412667
8,40,6000,4.364436608739197e-05
9,40,7000,7.882711361162364e-05
10,40,8000,8.356599573744461e-05
11,40,10000,7.030477718217298e-05
12,60,2000,0.00014958748943172395
13,60,4000,2.2446896764449775e-05
14,60,6000,
15,60,7000,3.0348664949997328e-05
16,60,8000,4.491327126743272e-05
17,60,10000,0.00043735458166338503
18,80,2000,8.54574900586158e-05
19,80,4000,1.0554887921898626e-05
20,80,6000,2.5513372747809626e-05
21,80,7000,1.5013315532996785e-05
22,80,8000,0.0003356448723934591
23,80,10000,3.9829741581343114e-05
24,100,2000,0.000355323136318475
25,100,4000,9.956565190805122e-05
26,100,6000,1.1204318980162498e-05
27,100,7000,0.00025351817021146417
28,100,8000,0.00029941194225102663
29,100,10000,
30,200,2000,2.7312598831485957e-05
31,200,4000,
32,200,6000,0.0001276449766010046
33,200,7000,2.1430636479635723e-05
34,200,8000,
35,200,10000,
